Date_fcx,fcx_volume,fcx_price,Date_nktr,nktr_volume,nktr_price
06-12-2021,13603038,33.0223,06-12-2021,3882747,10.51512
03-12-2021,20762714,32.21513,03-12-2021,1575070,9.57475
02-12-2021,18548791,32.7141,02-12-2021,1103795,10.09467
01-12-2021,19252047,31.8877,01-12-2021,1787171,9.8905
30-11-2021,27056126,32.67334,30-11-2021,1667623,9.95491
29-11-2021,17219153,33.59409,29-11-2021,1787018,9.85978
26-11-2021,21122389,32.83464,26-11-2021,955781,9.91684
24-11-2021,13430275,34.40657,24-11-2021,1142218,10.37871
23-11-2021,15865691,34.25582,23-11-2021,1414751,10.13862
22-11-2021,19078955,33.44116,22-11-2021,1505326,10.24182
19-11-2021,18917982,33.76954,19-11-2021,1481479,10.44433
18-11-2021,17621019,34.00275,18-11-2021,2425219,10.34301
17-11-2021,19209051,34.2264,17-11-2021,1583118,11.35259
16-11-2021,19165324,34.84149,16-11-2021,1764643,11.73199
15-11-2021,13962122,35.76695,15-11-2021,1208214,11.71614
12-11-2021,18481670,35.89224,12-11-2021,1525970,11.66914
11-11-2021,39436931,35.59874,11-11-2021,1261750,11.83303
10-11-2021,24055727,32.4838,10-11-2021,1235678,11.79639
09-11-2021,16030778,33.70408,09-11-2021,1666913,11.92202
08-11-2021,25103837,33.91939,08-11-2021,2600246,12.64457
05-11-2021,12536225,31.94336,05-11-2021,5447380,11.63797
04-11-2021,16309455,31.9365,04-11-2021,1163573,14.41933
03-11-2021,17054441,32.89278,03-11-2021,836504,14.69268
02-11-2021,14574505,33.17096,02-11-2021,1517569,14.39178
01-11-2021,10873435,32.95037,01-11-2021,1631161,13.99862
29-10-2021,16052233,32.58054,29-10-2021,1856527,13.13805
28-10-2021,13978391,32.51706,28-10-2021,660046,13.8123
27-10-2021,19544206,31.76594,27-10-2021,962885,13.7135
26-10-2021,15564445,33.41756,26-10-2021,569816,14.02434
25-10-2021,19215110,33.78365,25-10-2021,562545,13.88937
22-10-2021,19058229,32.27721,22-10-2021,406801,14.05605
21-10-2021,19571924,32.90852,21-10-2021,590997,14.23169
20-10-2021,14281712,33.28815,20-10-2021,626033,13.93274
19-10-2021,16543097,33.27684,19-10-2021,1153948,14.31763
18-10-2021,23196075,33.05108,18-10-2021,902467,14.05094
15-10-2021,30048424,33.214,15-10-2021,1696265,14.92885
14-10-2021,28961431,31.93532,14-10-2021,1005866,14.73076
13-10-2021,26459782,30.77063,13-10-2021,644624,14.74348
12-10-2021,21591553,29.86015,12-10-2021,504501,15.31922
11-10-2021,27084337,30.30306,11-10-2021,579933,14.89233
08-10-2021,17625283,29.35436,08-10-2021,570752,14.71809
07-10-2021,37035149,29.53821,07-10-2021,922517,14.57252
06-10-2021,22783873,27.3226,06-10-2021,1607907,13.96517
05-10-2021,20005260,27.59657,05-10-2021,1097275,14.7695
04-10-2021,20137597,27.99988,04-10-2021,770589,15.58654
01-10-2021,16091246,28.16449,01-10-2021,970124,15.8748
30-09-2021,23045139,27.96131,30-09-2021,877833,15.52156
29-09-2021,12717020,28.38626,29-09-2021,673374,15.45556
28-09-2021,19760997,28.58107,28-09-2021,808884,15.76785
27-09-2021,22469299,28.8212,27-09-2021,1179860,16.09981
24-09-2021,15164300,27.36907,24-09-2021,822500,15.79891
23-09-2021,20270424,27.19372,23-09-2021,1136759,15.71866
22-09-2021,28813468,26.74843,22-09-2021,1064186,15.15126
21-09-2021,35686626,25.8485,21-09-2021,1471036,15.10914
20-09-2021,38463194,26.44719,20-09-2021,615569,13.9396
17-09-2021,37567715,28.03277,17-09-2021,1748115,14.07982
16-09-2021,35807786,29.0089,16-09-2021,564877,13.82653
15-09-2021,18871361,30.95668,15-09-2021,715554,13.70722
14-09-2021,14925189,29.269,14-09-2021,711085,13.50871
13-09-2021,13867371,29.72737,13-09-2021,836701,13.86466
10-09-2021,22605889,29.85708,10-09-2021,789895,13.49522
09-09-2021,12518813,29.26107,09-09-2021,636952,13.33671
08-09-2021,18265713,28.92299,08-09-2021,786269,13.7152
07-09-2021,10303507,30.53045,07-09-2021,735918,13.53314
03-09-2021,12690689,30.23087,03-09-2021,641018,13.34735
02-09-2021,10984189,30.40354,02-09-2021,799257,13.36705
